id_meurtre,Victime,Maison,Quand1,Quand2,Quand,Lieu,Tueur,Comment,Technique,Raison,Hauteur,Size
  Death #9,Mycah, Smallfolk, Season 1, Episode 2,1, Kingsroad," Sandor ""the Hound"" Clegane", Unknown (likely a sword), Unknown, Joffrey has him killed after Arya attacks Joffrey,,
  Death #11,Ser Hugh of the Vale House Arryn, House Arryn, Season 1, Episode 4,3, King's Landing," Gregor ""the Mountain"" Clegane", Spear, Spear, Killed during a tournament,,
  Death #12,Clegane's horse, House Clegane, Season 1, Episode 5,4, King's Landing," Gregor ""the Mountain"" Clegane", Sword, Blade, Gregor was angry at being unhorsed in the tournament by Loras Tyrell,,
  Death #13,Stark soldier, House Stark, Season 1, Episode 5,4, Eastern Road, Tribesman, Bolo, Other, Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,,
  Death #14,Tribesman, None, Season 1, Episode 5,4, Eastern Road, Bronn, Sword, Blade, Attacked Catelyn Stark's group that was taking Tyrion Lannister to the Vale,,
  Death #15,Tribesman, None, Season 1, Episode 5,4, Eastern Road, Bronn, Sword, Blade, Attacked Catelyn Stark's group that was taking Tyrion Lannister to the Vale,,
  Death #16,Tribesman, None, Season 1, Episode 5,4, Eastern Road, Bronn, Sword, Blade, Attacked Catelyn Stark's group that was taking Tyrion Lannister to the Vale,,
  Death #17,Stark soldier, House Stark, Season 1, Episode 5,4, Eastern Road, Tribesman, Mace, Mace, Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,,
  Death #18,Tribesman, None, Season 1, Episode 5,4, Eastern Road, Tyrion Lannister, Shield, Other, Attacked Catelyn Stark,,
  Death #19,Tribesman, None, Season 1, Episode 5,4, Eastern Road, Rodrik Cassel, Sword, Blade, Attacked Catelyn Stark's group that was taking Tyrion Lannister to the Vale,,
  Death #20,Tribesman, None, Season 1, Episode 5,4, Eastern Road, Rodrik Cassel, Sword, Blade, Attacked Catelyn Stark's group that was taking Tyrion Lannister to the Vale,,
  Death #21,Tribesman, None, Season 1, Episode 5,4, Eastern Road, Bronn, Knife, Blade, Attacked Catelyn Stark's group that was taking Tyrion Lannister to the Vale,,
  Death #22,Stark soldier, House Stark, Season 1, Episode 5,4, King's Landing, Lannister soldier, Spear, Spear, Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,,
  Death #23,Stark soldier, House Stark, Season 1, Episode 5,4, King's Landing, Lannister soldier, Spear, Spear, Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,,
  Death #24,Lannister soldier, House Lannister, Season 1, Episode 5,4, King's Landing, Jory Cassel, Sword, Blade, Attacked Ned Stark on Jamie Lannister's command,,
  Death #25,Lannister soldier, House Lannister, Season 1, Episode 5,4, King's Landing, Ned Stark, Sword, Blade, Attacked Ned Stark on Jamie Lannister's command,,
  Death #26,Lannister soldier, House Lannister, Season 1, Episode 5,4, King's Landing, Jory Cassel, Sword, Blade, Attacked Ned Stark on Jamie Lannister's command,,
  Death #27,Lannister soldier, House Lannister, Season 1, Episode 5,4, King's Landing, Jory Cassel, Sword, Blade, Attacked Ned Stark on Jamie Lannister's command,,
  Death #28,Jory Cassel, House Stark, Season 1, Episode 5,4, King's Landing, Jaime Lannister, Knife, Blade, Attacked Jaime in defense of Ned Stark,,
  Death #29,Wallen, Free Folk, Season 1, Episode 6,5, Winterfell, Robb Stark, Sword, Blade, Attacked Bran Stark,,
  Death #30,Wildling, Free Folk, Season 1, Episode 6,5, Winterfell, Robb Stark, Sword, Blade, Attacked Bran Stark,,
  Death #31,Stiv, Free Folk, Season 1, Episode 6,5, Winterfell, Theon Greyjoy, Arrow, Arrow, Attacked Bran Stark,,
  Death #32,Vardis Egen, House Egen  House Arryn, Season 1, Episode 6,5, The Eyrie, Bronn, Sword, Blade, Defeated in a trial by combat to determine Tyrion Lannister's fate,,
  Death #33,Viserys Targaryen, House Targaryen, Season 1, Episode 6,5, Vaes Dothrak, Khal Drogo, Molten gold, Fire/Burning, Threatened Daenerys Targaryen and her unborn child  drew his sword in the sacred city,,
  Death #34,Robert Baratheon, House Baratheon of King's Landing, Season 1, Episode 7,6, King's Landing, Boar, Tusk, Animal, Hunted the boar while drunk,,
  Death #35,Stark soldier, House Stark, Season 1, Episode 7,6, King's Landing, City watch guard, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #36,Stark soldier, House Stark, Season 1, Episode 7,6, King's Landing, City watch guard, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #37,Stark soldier, House Stark, Season 1, Episode 7,6, King's Landing, City watch guard, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #38,Stark soldier, House Stark, Season 1, Episode 7,6, King's Landing," Sandor ""the Hound"" Clegane", Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #39,Stark soldier, House Stark, Season 1, Episode 8,7, King's Landing, Lannister soldier, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #40,Stark soldier, House Stark, Season 1, Episode 8,7, King's Landing, Lannister soldier, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #41,Vayon Poole, House Stark, Season 1, Episode 8,7, King's Landing, Lannister soldier, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #42,Stark staff member, House Stark, Season 1, Episode 8,7, King's Landing, Lannister soldier, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #43,Stark staff member, House Stark, Season 1, Episode 8,7, King's Landing, Lannister soldier, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #44,Septa Mordane, House Stark, Season 1, Episode 8,7, King's Landing, Lannister soldier, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #45,Syrio Forel, House Stark, Season 1, Episode 8,7, King's Landing, Meryn Trant, Sword, Blade, Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,,
  Death #46,Stableboy, Smallfolk, Season 1, Episode 8,7, King's Landing, Arya Stark, Sword (Needle), Blade, Tried to grab Arya,,
  Death #47,Othor, None, Season 1, Episode 8,7, Castle Black, Jon Snow, Fire, Fire/Burning, Attacked Jeor Mormont,,
  Death #48,Jafer Flowers, None, Season 1, Episode 8,7, Castle Black, Night's Watch brother, Fire, Fire/Burning, Attacked members of the Night's Watch,,
  Death #49,Mago, Dothraki, Season 1, Episode 8,7, Lhazar, Khal Drogo, Hands, Hands, Challenged Khal Drogo when Daenerys took his spoils of war,,
  Death #50,Raven, None, Season 1, Episode 9,8, The Twins, Theon Greyjoy, Arrow, Arrow, Killed to prevent a message from leaving The Twins,,
  Death #51,Drogo's horse, Dothraki, Season 1, Episode 9,8, Red Waste, Mirri Maz Duur, Knife, Blade, Sacrificed for magic ceremony,,
  Death #52,Qotho, Dothraki, Season 1, Episode 9,8, Red Waste, Jorah Mormont, Sword, Blade, Tried to stop Mirri Maz Duur's magic ritual from being performed on Khal Drogo,,
  Death #53,Stark soldier, House Stark, Season 1, Episode 9,8, Unknown, Hill tribesman, Hammer, Bludgeon, Battle between Lannister and Stark forces,,
  Death #54,Stark soldier, House Stark, Season 1, Episode 9,8, Unknown, Hill tribesman, Sword, Blade, Battle between Lannister and Stark forces,,
  Death #55,Pigeon, None, Season 1, Episode 9,8, King's Landing, Arya Stark, Hands, Hands, Killed for food,,
  Death #56,Ned Stark, House Stark, Season 1, Episode 9,8, King's Landing, Ilyn Payne, Sword (Ice), Blade, Executed on Joffrey Baratheon's orders after Ned claimed Joffrey wasn't the true heir to the throne,,
  Death #60,Knight, None, Season 2, Episode 1,10, King's Landing," Sandor ""the Hound"" Clegane", Mace, Mace, Defeated in nameday tournament for Joffrey Baratheon,,
  Death #61,The Silver, Dothraki  House Targaryen, Season 2, Episode 1,10, Red Waste, None, Starvation, Other, No food or water in the Red Waste,,
  Death #62,Maester Cressen, House Baratheon of Dragonstone, Season 2, Episode 1,10, Dragonstone," Melisandre ""the Red Woman"" of Asshai", Poison (magic?), Poison, Tried to kill Melisandre,,
  Death #63,Barra (Baratheon illegitimate daughter), Smallfolk, Season 2, Episode 1,10, King's Landing, Janos Slynt, Knife, Blade, Joffrey Baratheon orders all of Robert Baratheon's illegitimate children to be killed,,
  Death #64,Robert Baratheon's illegitimate son, Smallfolk, Season 2, Episode 1,10, King's Landing, City watch guard, Knife, Blade, Joffrey Baratheon orders all of Robert Baratheon's illegitimate children to be killed,,
  Death #65,Robert Baratheon's illegitimate son, Smallfolk, Season 2, Episode 1,10, King's Landing, City watch guard, Water (drowning), Other, Joffrey Baratheon orders all of Robert Baratheon's illegitimate children to be killed,,
  Death #66,Robert Baratheon's illegitimate son, Smallfolk, Season 2, Episode 1,10, King's Landing, City watch guard, Unknown, Unknown, Joffrey Baratheon orders all of Robert Baratheon's illegitimate children to be killed,,
  Death #182,Stark soldier, House Stark, Season 2, Episode 10,19, Unknown, Brienne of Tarth, Sword, Blade, Found Brienne transporting Jaime Lannister,,
  Death #183,Stark soldier, House Stark, Season 2, Episode 10,19, Unknown, Brienne of Tarth, Sword, Blade, Found Brienne transporting Jaime Lannister,,
  Death #184,Stark soldier, House Stark, Season 2, Episode 10,19, Unknown, Brienne of Tarth, Sword, Blade, Found Brienne transporting Jaime Lannister,,
  Death #185,Maester Luwin, House Stark, Season 2, Episode 10,19, Winterfell, Osha, Knife, Blade, Mercy killed by Osha after being stabbed in the stomach with a spear by Dagmer,,
  Death #186,Pyat Pree, Warlocks of Qarth  The Thirteen, Season 2, Episode 10,19, Qarth, Daenerys Targaryen, Dragonfire, Animal, Tried to lock Daenerys away to fuel his magic,,
  Death #187,Qhorin Halfhand, Night's Watch, Season 2, Episode 10,19, Beyond the Wall, Jon Snow, Sword (Longclaw), Blade, Part of plan to make the wildlings trust Jon Snow,,
  Death #188,Xaro Xhoan Daxos, The Thirteen, Season 2, Episode 10,19, Qarth, Daenerys Targaryen, Sealed into vault, Other, Betrayed Daenerys to declare himself king of Qarth,,
  Death #189,Doreah, House Targaryen  The Thirteen, Season 2, Episode 10,19, Qarth, Daenerys Targaryen, Sealed into vault, Other, Betrayed Daenerys to help Xaro Xhoan Daxos steal the dragons,,
  Death #67,Rakharo, Dothraki  House Targaryen, Season 2, Episode 2,11, Red Waste, Unknown (possible rival Dothraki men), Unknown, Unknown, Unknown (possibly as a challenge to Daenerys Targaryen's khalasar),,
  Death #68,Lannister soldier, House Lannister, Season 2, Episode 3,12, Riverlands, Yoren, Sword, Blade, Attempted to take Gendry from Yoren's Night's Watch recruits,,
  Death #69,Lannister soldier, House Lannister, Season 2, Episode 3,12, Riverlands, Yoren, Sword, Blade, Attempted to take Gendry from Yoren's Night's Watch recruits,,
  Death #70,Lannister soldier, House Lannister, Season 2, Episode 3,12, Riverlands, Yoren, Sword, Blade, Attempted to take Gendry from Yoren's Night's Watch recruits,,
  Death #71,Lannister soldier, House Lannister, Season 2, Episode 3,12, Riverlands, Yoren, Sword, Blade, Attempted to take Gendry from Yoren's Night's Watch recruits,,
  Death #72,Lannister soldier, House Lannister, Season 2, Episode 3,12, Riverlands, Yoren, Sword, Blade, Attempted to take Gendry from Yoren's Night's Watch recruits,,
  Death #73,Yoren, Night's Watch, Season 2, Episode 3,12, Riverlands, Amory Lorch, Sword, Blade, Refused to hand over Gendry,,
  Death #74,Night's Watch recruit, Night's Watch, Season 2, Episode 3,12, Riverlands, Lannister soldier, Spear, Spear, Attacked after seeing Yoren killed,,
  Death #75,Lommy Greenhands, Smallfolk, Season 2, Episode 3,12, Riverlands, Polliver, Sword (Needle), Blade, Killed after asking to be carried,,
  Death #76,Rennick, House Lannister, Season 2, Episode 4,13, Oxcross, Grey Wind, Direwolf teeth, Animal, Battle between Lannister and Stark forces,,
  Death #77,Lannister soldier, House Lannister, Season 2, Episode 4,13, Oxcross, Grey Wind, Direwolf teeth, Animal, Battle between Lannister and Stark forces,,
  Death #78,Prisoner, None, Season 2, Episode 4,13, Harrenhal, The Tickler, Rat, Animal, Tortured for information about the Brotherhood without Banners,,
  Death #79,Renly Baratheon, House Baratheon of Storm's End, Season 2, Episode 5,14, Storm's End," Melisandre ""the Red Woman"" of Asshai", Shadow Demon, Magic, Killed so that Stannis Baratheon would have fewer enemies,,
  Death #80,Baratheon of Storm's End guard, House Baratheon of Storm's End, Season 2, Episode 5,14, Storm's End, Brienne of Tarth, Sword, Blade, Attacked Brienne after assuming she killed Renly Baratheon,,
  Death #81,Baratheon of Storm's End guard, House Baratheon of Storm's End, Season 2, Episode 5,14, Storm's End, Brienne of Tarth, Sword, Blade, Attacked Brienne after assuming she killed Renly Baratheon,,
  Death #82,The Tickler, House Clegane, Season 2, Episode 5,14, Harrenhal, Jaqen H'ghar, Unknown, Unknown, Arya Stark orders his death as part of her three deaths from Jaqen,,
  Death #83,Rodrik Cassel, House Cassel  House Stark, Season 2, Episode 6,15, Winterfell, Theon Greyjoy, Sword, Blade, Refused to stand down when Theon took over Winterfell,,
  Death #84,Wildling, Free Folk, Season 2, Episode 6,15, Beyond the Wall, Night's Watch brother, Arrow, Arrow, Killed for being a wildling lookout,,
  Death #85,Wildling, Free Folk, Season 2, Episode 6,15, Beyond the Wall, Qhorin Halfhand, Sword, Blade, Killed for being a wildling lookout,,
  Death #86,High Septon, Faith of the Seven, Season 2, Episode 6,15, King's Landing, Peasants, Hands, Hands, Literally torn apart in a city riot,,
  Death #87,Peasant, Smallfolk, Season 2, Episode 6,15, King's Landing," Sandor ""the Hound"" Clegane", Sword, Blade, Killed in a city riot,,
  Death #88,Peasant, Smallfolk, Season 2, Episode 6,15, King's Landing," Sandor ""the Hound"" Clegane", Sword, Blade, Killed in a city riot,,
  Death #89,Peasant, Smallfolk, Season 2, Episode 6,15, King's Landing," Sandor ""the Hound"" Clegane", Knife, Blade, Tried to rape Sansa Stark during a city riot,,
  Death #90,Peasant, Smallfolk, Season 2, Episode 6,15, King's Landing," Sandor ""the Hound"" Clegane", Knife, Blade, Tried to rape Sansa Stark during a city riot,,
  Death #91,Peasant, Smallfolk, Season 2, Episode 6,15, King's Landing," Sandor ""the Hound"" Clegane", Knife, Blade, Tried to rape Sansa Stark during a city riot,,
  Death #92,Amory Lorch, House Lannister, Season 2, Episode 6,15, Harrenhal, Jaqen H'ghar, Poison dart, Poison, Named by Arya Stark after he finds her with one of Tywin's letters,,
  Death #93,Drennan, House Greyjoy, Season 2, Episode 6,15, Winterfell, Osha, Knife, Blade, Killed so that Osha could escape from Winterfell with Bran Stark  Rickon Stark and Hodor,,
  Death #94,Irri, Dothraki  House Targaryen, Season 2, Episode 6,15, Qarth, Unknown, Unknown, Unknown, Killed in a plot by Xaro Xhoan Daxos and Pyat Pree to cover up stealing the dragon eggs,,
  Death #100,Member of the Thirteen, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #101,Member of the Thirteen, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #102,Member of the Thirteen, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #103,Member of the Thirteen, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #104,Member of the Thirteen, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #105,Member of the Thirteen, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #106,Member of the Thirteen, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #107,Member of the Thirteen, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #108,Billy, Smallfolk, Season 2, Episode 7,16, Winterfell, Theon Greyjoy, Fire, Fire/Burning, Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,,
  Death #109,Jack, Smallfolk, Season 2, Episode 7,16, Winterfell, Theon Greyjoy, Fire, Fire/Burning, Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,,
  Death #95,Alton Lannister, House Lannister, Season 2, Episode 7,16, Robb Stark's camp, Jaime Lannister, Hands, Hands, Killed in Jaime's attempt to escape imprisonment,,
  Death #96,Torrhen Karstark, House Karstark  House Stark, Season 2, Episode 7,16, Robb Stark's camp, Jaime Lannister, Hands, Hands, Killed in Jaime's attempt to escape imprisonment,,
  Death #97,The Spice King, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #98,The Silk King, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #99,The Copper King, The Thirteen, Season 2, Episode 7,16, Qarth, Pyat Pree, Knife, Blade, Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,,
  Death #110,Matthos Seaworth, House Seaworth  House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #111,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #112,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #113,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #114,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #115,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #116,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #117,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #118,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #119,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #120,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #121,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Accident, Blunt object, Bludgeon, Killed during the Battle of the Blackwater,,
  Death #122,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #123,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Bronn, Wildfire, Fire/Burning, Killed during the Battle of the Blackwater,,
  Death #124,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #125,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #126,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #127,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #128,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #129,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #130,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #131,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #132,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #133,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #134,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #135,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #136,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #137,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #138,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #139,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #140,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #141,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #142,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #143,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Flaming arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #144,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing, Baratheon of King's Landing soldier, Boulder, Crushing, Killed during the Battle of the Blackwater,,
  Death #145,Baratheon of King's Landing soldier, House Baratheon of King's Landing, Season 2, Episode 9,18, King's Landing, Baratheon of Dragonstone soldier, Arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #146,Baratheon of King's Landing soldier, House Baratheon of King's Landing, Season 2, Episode 9,18, King's Landing, Baratheon of Dragonstone soldier, Arrow, Arrow, Killed during the Battle of the Blackwater,,
  Death #147,Baratheon of King's Landing soldier, House Baratheon of King's Landing, Season 2, Episode 9,18, King's Landing, Baratheon of Dragonstone soldier, Axe, Axe, Killed during the Battle of the Blackwater,,
  Death #148,Baratheon of King's Landing soldier, House Baratheon of King's Landing, Season 2, Episode 9,18, King's Landing, Baratheon of Dragonstone soldier, Axe, Axe, Killed during the Battle of the Blackwater,,
  Death #149,Baratheon of King's Landing soldier, House Baratheon of King's Landing, Season 2, Episode 9,18, King's Landing, Baratheon of Dragonstone soldier, Axe, Axe, Killed during the Battle of the Blackwater,,
  Death #150,Baratheon of Dragonstone soldier, House Baratheon of Dragonstone, Season 2, Episode 9,18, King's Landing," Sandor ""the Hound"" Clegane", Sword, Blade, Killed during the Battle of the Blackwater,,
